"state","customers"
"SP","39156"
"RJ","11917"
"MG","11001"
"RS","5168"
"PR","4769"
"SC","3449"
"BA","3158"
"DF","2019"
"ES","1928"
"GO","1895"
"PE","1551"
"CE","1258"
"PA","922"
"MT","856"
"MA","700"
"MS","681"
"PB","504"
"RN","464"
"PI","464"
"AL","387"
"SE","329"
"TO","267"
"RO","231"
"AM","140"
"AC","76"
"AP","66"
"RR","40"
